"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_1771","motif_377","0.210","0.606","452.1887","None","None"
"document_1771","motif_345","0.193","0.400","452.1887","None","None"
"document_1772","motif_337","0.960","0.768","381.2158","None","None"
"document_1773","motif_92","0.963","0.306","334.9064","None","None"
"document_1774","motif_243","0.500","0.403","190.0490","None","None"
"document_1774","motif_1","0.499","0.309","190.0490","None","None"
"document_1775","motif_112","0.743","0.048","406.2297","None","None"
"document_1775","motif_114","0.197","0.203","406.2297","None","None"
"document_1776","motif_187","0.999","0.034","381.2598","None","None"
"document_1777","motif_141","0.397","0.321","368.3507","None","None"
"document_1777","motif_257","0.393","0.051","368.3507","None","None"
"document_1777","motif_137","0.158","0.897","368.3507","None","None"
"document_1777","motif_324","0.052","0.982","368.3507","None","None"
"document_1778","motif_259","0.996","0.510","252.0774","None","None"
"document_1779","motif_268","0.852","0.107","401.2200","None","None"
"document_178","motif_267","0.939","0.054","347.1817","None","None"
"document_178","motif_152","0.060","0.562","347.1817","None","None"
"document_1780","motif_9","0.820","0.139","238.1065","None","None"
"document_1780","motif_41","0.055","0.159","238.1065","None","None"
"document_1781","motif_202","0.522","0.838","700.5537","None","None"
"document_1781","motif_191","0.401","0.074","700.5537","None","None"
"document_1781","motif_230","0.077","0.714","700.5537","None","None"
"document_1782","motif_202","0.788","0.945","872.5387","None","None"
"document_1782","motif_7","0.203","0.735","872.5387","None","None"
"document_1783","motif_101","1.000","0.048","530.3732","None","None"
"document_1784","motif_257","0.728","0.042","329.2239","None","None"
"document_1784","motif_114","0.108","0.179","329.2239","None","None"
"document_1784","motif_193","0.061","0.251","329.2239","None","None"
"document_1785","motif_81","0.536","0.029","240.0499","None","None"
"document_1785","motif_371","0.317","0.912","240.0499","None","None"
"document_1785","motif_82","0.059","0.109","240.0499","None","None"
"document_1786","motif_63","0.778","0.072","401.3356","None","None"
"document_1786","motif_96","0.076","0.734","401.3356","None","None"
"document_1786","motif_371","0.060","0.867","401.3356","None","None"
"document_1787","motif_202","0.539","0.666","744.5808","None","None"
"document_1787","motif_329","0.367","0.176","744.5808","None","None"
"document_1787","motif_230","0.068","0.662","744.5808","None","None"
"document_1788","motif_65","0.369","0.163","474.3583","None","None"
"document_1788","motif_84","0.264","0.448","474.3583","None","None"
"document_1788","motif_220","0.140","0.411","474.3583","None","None"
"document_1788","motif_137","0.092","0.739","474.3583","None","None"
"document_1789","motif_77","0.851","0.367","305.1631","None","None"
