"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_3009","motif_47","0.074","0.920","560.3252","None","None"
"document_301","motif_338","0.959","0.525","746.6736","None","None"
"document_3010","motif_67","0.744","0.047","335.2386","None","None"
"document_3010","motif_220","0.126","0.558","335.2386","None","None"
"document_3010","motif_137","0.050","0.722","335.2386","None","None"
"document_3011","motif_395","0.645","0.520","548.2828","None","None"
"document_3011","motif_95","0.079","0.189","548.2828","None","None"
"document_3011","motif_232","0.070","0.289","548.2828","None","None"
"document_3012","motif_46","0.837","0.017","321.2230","None","None"
"document_3012","motif_220","0.074","0.436","321.2230","None","None"
"document_3013","motif_396","0.892","0.656","1503.1048","None","None"
"document_3013","motif_7","0.108","0.719","1503.1048","None","None"
"document_3014","motif_360","0.614","0.180","612.4264","None","None"
"document_3014","motif_26","0.328","0.420","612.4264","None","None"
"document_3015","motif_58","0.904","0.526","594.2520","None","None"
"document_3016","motif_55","0.408","0.173","506.2722","None","None"
"document_3016","motif_175","0.189","0.164","506.2722","None","None"
"document_3016","motif_273","0.125","0.272","506.2722","None","None"
"document_3016","motif_95","0.114","0.438","506.2722","None","None"
"document_3017","motif_171","0.443","0.441","578.2931","None","None"
"document_3017","motif_95","0.302","0.485","578.2931","None","None"
"document_3018","motif_370","0.346","0.059","474.3772","None","None"
"document_3018","motif_110","0.184","0.676","474.3772","None","None"
"document_3018","motif_314","0.139","0.172","474.3772","None","None"
"document_3018","motif_328","0.088","0.104","474.3772","None","None"
"document_3018","motif_136","0.087","0.281","474.3772","None","None"
"document_3019","motif_322","0.822","0.816","593.4108","None","None"
"document_302","motif_148","0.923","0.212","371.3140","None","None"
"document_302","motif_26","0.077","0.252","371.3140","None","None"
"document_3020","motif_380","0.633","0.566","436.2303","None","None"
"document_3020","motif_273","0.085","0.337","436.2303","None","None"
"document_3020","motif_95","0.064","0.375","436.2303","None","None"
"document_3021","motif_395","0.800","0.773","566.2575","None","None"
"document_3021","motif_241","0.076","0.539","566.2575","None","None"
"document_3022","motif_322","0.927","0.834","395.1412","None","None"
"document_3023","motif_177","0.509","0.328","329.1730","None","None"
"document_3023","motif_59","0.305","0.482","329.1730","None","None"
"document_3023","motif_371","0.076","0.865","329.1730","None","None"
"document_3023","motif_330","0.068","0.370","329.1730","None","None"
"document_3024","motif_135","0.809","0.179","522.2464","None","None"
"document_3024","motif_330","0.163","0.200","522.2464","None","None"
"document_3025","motif_166","0.625","0.294","396.1789","None","None"
"document_3025","motif_371","0.145","0.905","396.1789","None","None"
"document_3025","motif_138","0.084","0.229","396.1789","None","None"
"document_3025","motif_59","0.050","0.453","396.1789","None","None"
"document_3026","motif_177","0.607","0.256","374.2308","None","None"
"document_3026","motif_117","0.149","0.649","374.2308","None","None"
"document_3026","motif_251","0.132","0.132","374.2308","None","None"
"document_3026","motif_285","0.112","0.308","374.2308","None","None"
"document_3027","motif_330","0.751","0.144","510.2464","None","None"
"document_3027","motif_135","0.156","0.147","510.2464","None","None"
"document_3028","motif_135","0.903","0.187","504.2362","None","None"
"document_3028","motif_200","0.068","0.047","504.2362","None","None"
"document_3029","motif_23","0.894","0.087","305.1363","None","None"
"document_3029","motif_253","0.057","0.612","305.1363","None","None"
"document_303","motif_202","0.533","0.701","938.6802","None","None"
"document_303","motif_255","0.218","0.162","938.6802","None","None"
"document_303","motif_329","0.172","0.228","938.6802","None","None"
"document_303","motif_230","0.052","0.738","938.6802","None","None"
"document_3030","motif_68","0.662","0.549","512.2469","None","None"
"document_3030","motif_95","0.113","0.354","512.2469","None","None"
"document_3030","motif_108","0.069","0.229","512.2469","None","None"
"document_3031","motif_85","0.792","0.688","502.1900","None","None"
"document_3031","motif_108","0.161","0.624","502.1900","None","None"
"document_3032","motif_50","0.343","0.253","480.2202","None","None"
"document_3032","motif_93","0.175","0.180","480.2202","None","None"
"document_3032","motif_218","0.129","0.089","480.2202","None","None"
"document_3032","motif_377","0.094","0.224","480.2202","None","None"
"document_3033","motif_374","0.910","0.744","492.2199","None","None"
"document_3034","motif_12","0.265","0.307","464.2250","None","None"
"document_3034","motif_380","0.164","0.282","464.2250","None","None"
"document_3034","motif_116","0.159","0.085","464.2250","None","None"
"document_3034","motif_95","0.095","0.499","464.2250","None","None"
"document_3034","motif_5","0.061","0.298","464.2250","None","None"
"document_3035","motif_108","0.433","0.694","568.2366","None","None"
"document_3035","motif_13","0.258","0.094","568.2366","None","None"
"document_3035","motif_324","0.051","0.981","568.2366","None","None"
"document_3036","motif_55","0.277","0.321","345.1681","None","None"
"document_3036","motif_4","0.228","0.284","345.1681","None","None"
"document_3036","motif_371","0.220","0.885","345.1681","None","None"
"document_3036","motif_23","0.145","0.283","345.1681","None","None"
"document_3037","motif_254","0.407","0.128","461.2141","None","None"
"document_3037","motif_341","0.152","0.126","461.2141","None","None"
"document_3037","motif_108","0.080","0.225","461.2141","None","None"
"document_3038","motif_95","0.364","0.479","536.2465","None","None"
"document_3038","motif_179","0.301","0.169","536.2465","None","None"
"document_3039","motif_118","0.290","0.137","464.2250","None","None"
"document_3039","motif_12","0.275","0.230","464.2250","None","None"
"document_3039","motif_95","0.091","0.247","464.2250","None","None"
"document_304","motif_202","0.390","0.968","590.4235","None","None"
"document_304","motif_372","0.360","0.488","590.4235","None","None"
"document_304","motif_186","0.062","0.910","590.4235","None","None"
"document_3040","motif_256","0.801","0.634","325.1264","None","None"
"document_3040","motif_95","0.063","0.316","325.1264","None","None"
"document_3041","motif_362","0.515","0.493","578.2574","None","None"
"document_3041","motif_95","0.320","0.507","578.2574","None","None"
"document_3042","motif_108","0.379","0.729","554.2572","None","None"
"document_3042","motif_196","0.271","0.143","554.2572","None","None"
"document_3042","motif_71","0.086","0.826","554.2572","None","None"
"document_3043","motif_83","0.681","0.406","422.1778","None","None"
"document_3043","motif_47","0.156","0.935","422.1778","None","None"
"document_3043","motif_377","0.059","0.184","422.1778","None","None"
"document_3044","motif_99","0.704","0.531","346.1482","None","None"
"document_3044","motif_377","0.189","0.576","346.1482","None","None"
"document_3045","motif_220","0.364","0.758","460.3612","None","None"
"document_3045","motif_375","0.298","0.269","460.3612","None","None"
"document_3045","motif_169","0.221","0.328","460.3612","None","None"
"document_3046","motif_395","0.800","0.773","566.2573","None","None"
"document_3046","motif_241","0.076","0.539","566.2573","None","None"
"document_3047","motif_95","0.473","0.744","568.2366","None","None"
"document_3047","motif_242","0.352","0.248","568.2366","None","None"
"document_3048","motif_255","0.456","0.424","570.4546","None","None"
"document_3048","motif_202","0.391","0.634","570.4546","None","None"
"document_3048","motif_230","0.118","0.764","570.4546","None","None"
"document_3049","motif_55","0.562","0.566","362.1942","None","None"
"document_3049","motif_28","0.093","0.754","362.1942","None","None"
"document_3049","motif_47","0.061","0.923","362.1942","None","None"
"document_3049","motif_108","0.051","0.338","362.1942","None","None"
"document_305","motif_211","0.596","0.827","1342.9213","None","None"
"document_305","motif_123","0.400","0.110","1342.9213","None","None"
"document_3050","motif_287","0.847","0.032","335.1224","None","None"
"document_3050","motif_31","0.053","0.318","335.1224","None","None"
"document_3051","motif_46","0.339","0.349","552.2416","None","None"
"document_3051","motif_95","0.179","0.394","552.2416","None","None"
"document_3051","motif_108","0.170","0.418","552.2416","None","None"
"document_3051","motif_232","0.052","0.325","552.2416","None","None"
"document_3052","motif_361","0.418","0.437","552.2416","None","None"
"document_3052","motif_108","0.200","0.461","552.2416","None","None"
"document_3052","motif_95","0.116","0.261","552.2416","None","None"
"document_3053","motif_362","0.515","0.493","578.2574","None","None"
"document_3053","motif_95","0.320","0.507","578.2574","None","None"
"document_3054","motif_380","0.701","0.485","436.2303","None","None"
"document_3054","motif_95","0.073","0.345","436.2303","None","None"
"document_3055","motif_147","0.294","0.478","375.1784","None","None"
"document_3055","motif_345","0.233","0.408","375.1784","None","None"
"document_3055","motif_43","0.216","0.094","375.1784","None","None"
"document_3055","motif_256","0.084","0.141","375.1784","None","None"
"document_3056","motif_357","0.654","0.644","492.2564","None","None"
"document_3056","motif_160","0.151","0.604","492.2564","None","None"
"document_3057","motif_214","0.658","0.420","438.2463","None","None"
"document_3057","motif_273","0.058","0.204","438.2463","None","None"
"document_3058","motif_222","0.490","0.490","552.2413","None","None"
"document_3058","motif_95","0.242","0.499","552.2413","None","None"
"document_3058","motif_108","0.052","0.117","552.2413","None","None"
"document_3059","motif_49","0.938","0.242","331.2152","None","None"
"document_306","motif_129","0.966","0.464","537.5327","None","None"
"document_3060","motif_26","0.663","0.573","445.1145","None","None"
"document_3060","motif_27","0.322","0.045","445.1145","None","None"
"document_3061","motif_26","0.650","0.477","445.1147","None","None"
"document_3061","motif_27","0.320","0.043","445.1147","None","None"
"document_3062","motif_255","0.406","0.318","584.4702","None","None"
"document_3062","motif_202","0.406","0.665","584.4702","None","None"
"document_3062","motif_230","0.137","0.787","584.4702","None","None"
"document_3063","motif_26","0.679","0.480","445.1147","None","None"
"document_3063","motif_27","0.321","0.043","445.1147","None","None"
"document_3064","motif_142","0.962","0.015","358.2264","None","None"
"document_3065","motif_23","0.617","0.099","750.5553","None","None"
"document_3065","motif_117","0.228","0.649","750.5553","None","None"
"document_3065","motif_181","0.080","0.139","750.5553","None","None"
"document_3066","motif_329","0.345","0.584","506.8225","None","None"
"document_3066","motif_29","0.158","0.008","506.8225","None","None"
"document_3066","motif_95","0.122","0.263","506.8225","None","None"
"document_3066","motif_202","0.113","0.348","506.8225","None","None"
"document_3066","motif_189","0.051","0.226","506.8225","None","None"
"document_3067","motif_345","0.348","0.670","438.1730","None","None"
"document_3067","motif_170","0.243","0.180","438.1730","None","None"
"document_3067","motif_377","0.240","0.742","438.1730","None","None"
"document_3067","motif_95","0.080","0.538","438.1730","None","None"
"document_3068","motif_133","0.814","0.019","796.3077","None","None"
"document_3068","motif_322","0.158","0.792","796.3077","None","None"
"document_3069","motif_202","0.562","0.780","568.4750","None","None"
"document_3069","motif_354","0.201","0.102","568.4750","None","None"
"document_3069","motif_230","0.103","0.779","568.4750","None","None"
"document_307","motif_381","0.854","0.069","398.3247","None","None"
"document_3070","motif_222","0.490","0.490","552.2413","None","None"
"document_3070","motif_95","0.242","0.499","552.2413","None","None"
"document_3070","motif_108","0.052","0.117","552.2413","None","None"
"document_3071","motif_261","0.999","0.025","372.2417","None","None"
"document_3072","motif_347","0.315","0.249","538.2623","None","None"
"document_3072","motif_160","0.218","0.559","538.2623","None","None"
"document_3072","motif_108","0.166","0.472","538.2623","None","None"
"document_3072","motif_384","0.053","0.095","538.2623","None","None"
"document_3073","motif_369","0.817","0.082","451.1549","None","None"
"document_3074","motif_187","0.791","0.464","585.5178","None","None"
"document_3074","motif_10","0.063","0.644","585.5178","None","None"
"document_3075","motif_216","0.397","0.400","536.2465","None","None"
"document_3075","motif_95","0.261","0.652","536.2465","None","None"
"document_3075","motif_160","0.100","0.335","536.2465","None","None"
"document_3076","motif_345","0.549","0.279","382.1840","None","None"
"document_3076","motif_273","0.099","0.263","382.1840","None","None"
"document_3076","motif_45","0.055","0.096","382.1840","None","None"
"document_3076","motif_324","0.053","0.977","382.1840","None","None"
"document_3077","motif_202","0.500","0.672","1244.8844","None","None"
"document_3077","motif_329","0.365","0.391","1244.8844","None","None"
"document_3077","motif_230","0.094","0.769","1244.8844","None","None"
"document_3078","motif_69","0.508","0.495","554.2209","None","None"
"document_3078","motif_108","0.383","0.839","554.2209","None","None"
"document_3079","motif_244","0.869","0.027","406.2918","None","None"
"document_308","motif_342","0.497","0.702","228.1948","None","None"
"document_308","motif_378","0.225","0.702","228.1948","None","None"
"document_308","motif_137","0.094","0.743","228.1948","None","None"
"document_3080","motif_258","0.584","0.541","450.2091","None","None"
"document_3080","motif_377","0.119","0.451","450.2091","None","None"
"document_3080","motif_95","0.097","0.517","450.2091","None","None"
"document_3081","motif_12","0.763","0.446","464.2250","None","None"
"document_3081","motif_108","0.056","0.255","464.2250","None","None"
"document_3082","motif_202","0.573","0.841","876.6580","None","None"
"document_3082","motif_191","0.301","0.055","876.6580","None","None"
"document_3082","motif_230","0.077","0.664","876.6580","None","None"
"document_3083","motif_255","0.593","0.503","612.5011","None","None"
"document_3083","motif_78","0.289","0.066","612.5011","None","None"
"document_3083","motif_230","0.090","0.727","612.5011","None","None"
"document_3084","motif_150","0.803","0.123","448.2224","None","None"
"document_3084","motif_0","0.066","0.791","448.2224","None","None"
"document_3084","motif_394","0.052","0.192","448.2224","None","None"
"document_3085","motif_266","0.405","0.589","386.2521","None","None"
"document_3085","motif_153","0.272","0.043","386.2521","None","None"
"document_3085","motif_372","0.093","0.255","386.2521","None","None"
"document_3085","motif_7","0.092","0.717","386.2521","None","None"
"document_3086","motif_322","0.999","0.792","574.4650","None","None"
"document_3087","motif_32","0.416","0.331","492.2198","None","None"
"document_3087","motif_304","0.271","0.321","492.2198","None","None"
"document_3087","motif_95","0.080","0.300","492.2198","None","None"
"document_3087","motif_108","0.067","0.297","492.2198","None","None"
"document_3088","motif_105","0.491","0.511","552.2781","None","None"
"document_3088","motif_95","0.141","0.305","552.2781","None","None"
"document_3088","motif_160","0.102","0.240","552.2781","None","None"
"document_3089","motif_337","0.999","0.768","503.0669","None","None"
"document_309","motif_191","1.000","0.450","628.4965","None","None"
"document_3090","motif_344","0.920","0.908","436.1935","None","None"
"document_3090","motif_324","0.077","0.981","436.1935","None","None"
"document_3091","motif_380","0.788","0.531","436.2303","None","None"
"document_3092","motif_202","0.390","0.862","195.1217","None","None"
"document_3092","motif_353","0.385","0.248","195.1217","None","None"
"document_3092","motif_23","0.104","0.210","195.1217","None","None"
"document_3092","motif_354","0.077","0.324","195.1217","None","None"
"document_3093","motif_9","0.883","0.074","375.1901","None","None"
"document_3094","motif_335","0.942","0.063","217.1039","None","None"
"document_3095","motif_383","0.383","0.536","426.2102","None","None"
"document_3095","motif_273","0.242","0.683","426.2102","None","None"
"document_3095","motif_127","0.078","0.170","426.2102","None","None"
"document_3095","motif_95","0.071","0.490","426.2102","None","None"
"document_3096","motif_225","0.581","0.470","456.2206","None","None"
"document_3096","motif_345","0.170","0.468","456.2206","None","None"
"document_3096","motif_108","0.106","0.715","456.2206","None","None"
"document_3096","motif_273","0.083","0.380","456.2206","None","None"
"document_3097","motif_384","0.300","0.366","550.2621","None","None"
"document_3097","motif_213","0.158","0.166","550.2621","None","None"
"document_3097","motif_95","0.152","0.326","550.2621","None","None"
"document_3097","motif_160","0.133","0.356","550.2621","None","None"
"document_3098","motif_361","0.996","0.172","488.2269","None","None"
"document_3099","motif_182","0.960","0.594","526.2257","None","None"
"document_31","motif_92","1.000","0.377","294.9374","None","None"
"document_310","motif_202","0.408","0.887","377.3244","None","None"
"document_310","motif_334","0.315","0.344","377.3244","None","None"
"document_310","motif_225","0.169","0.048","377.3244","None","None"
"document_310","motif_230","0.067","0.659","377.3244","None","None"
"document_3100","motif_333","0.357","0.142","510.2675","None","None"
"document_3100","motif_108","0.235","0.232","510.2675","None","None"
"document_3100","motif_137","0.078","0.810","510.2675","None","None"
"document_3100","motif_204","0.065","0.798","510.2675","None","None"
"document_3100","motif_110","0.053","0.307","510.2675","None","None"
"document_3101","motif_341","0.608","0.394","506.2356","None","None"
"document_3101","motif_95","0.127","0.346","506.2356","None","None"
"document_3102","motif_244","0.574","0.222","508.2150","None","None"
"document_3102","motif_50","0.114","0.118","508.2150","None","None"
"document_3102","motif_241","0.058","0.590","508.2150","None","None"
"document_3103","motif_194","0.695","0.071","250.1790","None","None"
"document_3103","motif_322","0.299","0.807","250.1790","None","None"
"document_3104","motif_53","0.766","0.097","264.1945","None","None"
"document_3104","motif_322","0.234","0.797","264.1945","None","None"
"document_3105","motif_314","0.643","0.083","278.2100","None","None"
"document_3105","motif_322","0.245","0.800","278.2100","None","None"
"document_3105","motif_129","0.106","0.096","278.2100","None","None"
"document_3106","motif_116","0.550","0.261","567.4341","None","None"
"document_3106","motif_217","0.183","0.375","567.4341","None","None"
"document_3106","motif_206","0.167","0.054","567.4341","None","None"
"document_3107","motif_233","0.460","0.062","308.1837","None","None"
"document_3107","motif_231","0.303","0.168","308.1837","None","None"
"document_3107","motif_166","0.096","0.421","308.1837","None","None"
"document_3107","motif_371","0.081","0.910","308.1837","None","None"
"document_3108","motif_114","0.805","0.068","278.1736","None","None"
"document_3108","motif_371","0.101","0.912","278.1736","None","None"
"document_3109","motif_249","0.948","0.079","578.4023","None","None"
"document_311","motif_354","0.554","0.784","308.2777","None","None"
"document_311","motif_170","0.260","0.432","308.2777","None","None"
"document_311","motif_230","0.082","0.787","308.2777","None","None"
"document_311","motif_110","0.053","0.722","308.2777","None","None"
"document_3110","motif_53","0.767","0.097","264.1945","None","None"
"document_3110","motif_322","0.233","0.797","264.1945","None","None"
"document_3111","motif_168","0.891","0.662","338.1581","None","None"
"document_3111","motif_253","0.105","0.586","338.1581","None","None"
"document_3112","motif_82","0.443","0.106","532.3974","None","None"
"document_3112","motif_49","0.411","0.065","532.3974","None","None"
"document_3112","motif_285","0.066","0.341","532.3974","None","None"
"document_3112","motif_297","0.066","0.110","532.3974","None","None"
"document_3113","motif_342","0.327","0.506","216.1950","None","None"
"document_3113","motif_136","0.188","0.291","216.1950","None","None"
"document_3113","motif_141","0.079","0.239","216.1950","None","None"
"document_3113","motif_87","0.069","0.050","216.1950","None","None"
"document_3113","motif_128","0.059","0.402","216.1950","None","None"
"document_3113","motif_142","0.057","0.162","216.1950","None","None"
"document_3114","motif_249","0.997","0.028","333.1791","None","None"
"document_3115","motif_281","0.615","0.433","358.2574","None","None"
"document_3115","motif_237","0.154","0.780","358.2574","None","None"
"document_3115","motif_280","0.142","0.470","358.2574","None","None"
"document_3115","motif_342","0.078","0.216","358.2574","None","None"
"document_3116","motif_156","0.912","0.774","482.3819","None","None"
"document_3117","motif_249","0.955","0.062","329.2093","None","None"
"document_3118","motif_316","0.595","0.455","519.1364","None","None"
"document_3118","motif_26","0.405","0.481","519.1364","None","None"
"document_3119","motif_69","0.876","0.280","801.5947","None","None"
"document_3119","motif_350","0.052","0.146","801.5947","None","None"
"document_312","motif_291","0.973","0.095","327.0764","None","None"
"document_3120","motif_54","0.575","0.501","459.2718","None","None"
"document_3120","motif_249","0.337","0.076","459.2718","None","None"
"document_3120","motif_177","0.088","0.153","459.2718","None","None"
"document_3121","motif_249","0.895","0.112","562.4079","None","None"
"document_3121","motif_191","0.105","0.121","562.4079","None","None"
"document_3122","motif_233","0.460","0.062","308.1837","None","None"
"document_3122","motif_231","0.303","0.168","308.1837","None","None"
"document_3122","motif_166","0.096","0.421","308.1837","None","None"
"document_3122","motif_371","0.081","0.910","308.1837","None","None"
"document_3123","motif_195","0.779","0.259","495.4133","None","None"
"document_3123","motif_332","0.068","0.394","495.4133","None","None"
"document_3123","motif_220","0.052","0.356","495.4133","None","None"
"document_3124","motif_156","0.859","0.733","498.3401","None","None"
"document_3125","motif_140","0.677","0.220","308.1475","None","None"
"document_3125","motif_253","0.140","0.638","308.1475","None","None"
"document_3125","motif_38","0.117","0.373","308.1475","None","None"
"document_3126","motif_168","0.823","0.636","338.1579","None","None"
"document_3126","motif_31","0.068","0.340","338.1579","None","None"
"document_3127","motif_392","0.931","0.243","534.3764","None","None"
"document_3128","motif_140","0.698","0.223","308.1475","None","None"
"document_3128","motif_31","0.081","0.380","308.1475","None","None"
"document_3128","motif_253","0.076","0.453","308.1475","None","None"
"document_3128","motif_38","0.074","0.372","308.1475","None","None"
"document_3129","motif_90","0.710","0.084","292.2255","None","None"
"document_3129","motif_322","0.288","0.798","292.2255","None","None"
"document_313","motif_329","0.493","0.619","401.2603","None","None"
"document_313","motif_78","0.283","0.032","401.2603","None","None"
"document_313","motif_202","0.185","0.379","401.2603","None","None"
"document_3130","motif_268","0.862","0.140","532.2917","None","None"
"document_3130","motif_152","0.126","0.597","532.2917","None","None"
"document_3131","motif_168","0.881","0.656","338.1581","None","None"
"document_3131","motif_253","0.117","0.592","338.1581","None","None"
"document_3132","motif_133","0.998","0.022","468.2457","None","None"
"document_3133","motif_33","0.753","0.629","500.3717","None","None"
"document_3133","motif_340","0.108","0.298","500.3717","None","None"
"document_3134","motif_342","0.506","0.715","228.1948","None","None"
"document_3134","motif_378","0.221","0.702","228.1948","None","None"
"document_3134","motif_137","0.097","0.752","228.1948","None","None"
"document_3135","motif_362","0.599","0.031","528.4028","None","None"
"document_3135","motif_10","0.268","0.644","528.4028","None","None"
"document_3135","motif_80","0.133","0.037","528.4028","None","None"
"document_3136","motif_269","0.894","0.842","379.2000","None","None"
"document_3136","motif_138","0.087","0.271","379.2000","None","None"
"document_3137","motif_28","0.697","0.033","157.1329","None","None"
"document_3137","motif_114","0.214","0.179","157.1329","None","None"
"document_3138","motif_116","0.675","0.264","553.4184","None","None"
"document_3138","motif_217","0.319","0.388","553.4184","None","None"
"document_3139","motif_69","0.772","0.392","511.3395","None","None"
"document_3139","motif_152","0.072","0.597","511.3395","None","None"
"document_3139","motif_54","0.055","0.460","511.3395","None","None"
"document_3139","motif_180","0.053","0.357","511.3395","None","None"
"document_314","motif_348","0.833","0.101","522.3485","None","None"
"document_314","motif_223","0.166","0.384","522.3485","None","None"
"document_3140","motif_76","0.860","0.130","550.1777","None","None"
"document_3140","motif_119","0.140","0.461","550.1777","None","None"
"document_3141","motif_388","0.814","0.287","361.1894","None","None"
"document_3141","motif_239","0.096","0.119","361.1894","None","None"
"document_3141","motif_31","0.066","0.354","361.1894","None","None"
"document_3142","motif_131","0.730","0.154","236.1635","None","None"
"document_3142","motif_322","0.208","0.797","236.1635","None","None"
"document_3142","motif_123","0.063","0.084","236.1635","None","None"
"document_3143","motif_343","0.347","0.076","393.2155","None","None"
"document_3143","motif_330","0.259","0.300","393.2155","None","None"
"document_3143","motif_48","0.238","0.186","393.2155","None","None"
"document_3143","motif_152","0.148","0.604","393.2155","None","None"
"document_3144","motif_163","0.427","0.035","525.4241","None","None"
"document_3144","motif_116","0.160","0.128","525.4241","None","None"
"document_3144","motif_136","0.134","0.285","525.4241","None","None"
"document_3144","motif_82","0.064","0.107","525.4241","None","None"
"document_3144","motif_290","0.064","0.397","525.4241","None","None"
"document_3145","motif_312","0.922","0.222","528.2637","None","None"
"document_3145","motif_117","0.078","0.649","528.2637","None","None"
"document_3146","motif_176","0.970","0.065","345.1901","None","None"
"document_3147","motif_370","0.487","0.157","375.2048","None","None"
"document_3147","motif_152","0.464","0.606","375.2048","None","None"
"document_3148","motif_140","0.962","0.128","608.3770","None","None"
"document_3149","motif_136","0.825","0.388","466.3142","None","None"
"document_3149","motif_290","0.061","0.392","466.3142","None","None"
"document_315","motif_202","0.504","0.710","732.5434","None","None"
"document_315","motif_255","0.403","0.368","732.5434","None","None"
"document_315","motif_230","0.090","0.755","732.5434","None","None"
"document_3150","motif_317","0.904","0.197","367.2003","None","None"
"document_3150","motif_383","0.064","0.112","367.2003","None","None"
"document_3151","motif_269","0.899","0.056","379.2000","None","None"
"document_3152","motif_220","0.404","0.511","448.3035","None","None"
"document_3152","motif_394","0.354","0.218","448.3035","None","None"
"document_3152","motif_1","0.093","0.300","448.3035","None","None"
"document_3153","motif_197","0.792","0.431","323.2101","None","None"
"document_3153","motif_121","0.127","0.032","323.2101","None","None"
"document_3153","motif_220","0.053","0.520","323.2101","None","None"
"document_3154","motif_164","0.787","0.083","546.4134","None","None"
"document_3154","motif_283","0.134","0.125","546.4134","None","None"
"document_3154","motif_285","0.055","0.308","546.4134","None","None"
"document_3155","motif_168","0.860","0.412","320.1476","None","None"
"document_3155","motif_371","0.063","0.778","320.1476","None","None"
"document_3156","motif_163","0.717","0.047","395.1948","None","None"
"document_3156","motif_383","0.105","0.196","395.1948","None","None"
"document_3157","motif_229","0.932","0.075","353.1848","None","None"
"document_3158","motif_98","0.418","0.379","241.1787","None","None"
"document_3158","motif_110","0.254","0.859","241.1787","None","None"
"document_3158","motif_338","0.128","0.507","241.1787","None","None"
"document_3158","motif_373","0.088","0.163","241.1787","None","None"
"document_3159","motif_163","0.645","0.059","294.1683","None","None"
"document_3159","motif_253","0.181","0.609","294.1683","None","None"
"document_3159","motif_23","0.093","0.101","294.1683","None","None"
"document_316","motif_146","0.840","0.067","307.8907","None","None"
"document_316","motif_1","0.096","0.171","307.8907","None","None"
"document_316","motif_92","0.064","0.253","307.8907","None","None"
"document_3160","motif_129","0.870","0.132","396.3091","None","None"
"document_3161","motif_20","0.866","0.084","403.2358","None","None"
"document_3162","motif_180","0.573","0.073","481.4344","None","None"
"document_3162","motif_128","0.109","0.211","481.4344","None","None"
"document_3162","motif_195","0.099","0.266","481.4344","None","None"
"document_3162","motif_356","0.098","0.300","481.4344","None","None"
"document_3162","motif_223","0.096","0.393","481.4344","None","None"
"document_3163","motif_299","0.830","0.133","305.1843","None","None"
"document_3163","motif_47","0.104","0.923","305.1843","None","None"
"document_3163","motif_386","0.062","0.641","305.1843","None","None"
"document_3164","motif_45","0.855","0.190","322.1630","None","None"
"document_3165","motif_376","0.795","0.054","393.1782","None","None"
"document_3165","motif_202","0.086","0.743","393.1782","None","None"
"document_3166","motif_197","0.819","0.415","461.2876","None","None"
"document_3166","motif_137","0.128","0.912","461.2876","None","None"
"document_3166","motif_375","0.053","0.081","461.2876","None","None"
"document_3167","motif_49","0.708","0.189","596.4074","None","None"
"document_3167","motif_128","0.248","0.238","596.4074","None","None"
"document_3168","motif_314","0.622","0.100","278.2099","None","None"
"document_3168","motif_322","0.263","0.801","278.2099","None","None"
"document_3168","motif_129","0.114","0.094","278.2099","None","None"
"document_3169","motif_331","0.527","0.045","393.2155","None","None"
"document_3169","motif_71","0.191","0.833","393.2155","None","None"
"document_3169","motif_202","0.122","0.707","393.2155","None","None"
"document_3169","motif_329","0.065","0.304","393.2155","None","None"
"document_317","motif_17","0.306","0.116","576.4080","None","None"
"document_317","motif_202","0.300","0.942","576.4080","None","None"
"document_317","motif_372","0.055","0.218","576.4080","None","None"
"document_3170","motif_165","1.000","0.321","385.1267","None","None"
"document_3171","motif_249","0.999","0.079","550.3711","None","None"
"document_3172","motif_10","0.791","0.793","437.3717","None","None"
"document_3173","motif_194","0.706","0.067","336.1787","None","None"
"document_3173","motif_371","0.093","0.909","336.1787","None","None"
"document_3173","motif_166","0.085","0.365","336.1787","None","None"
"document_3174","motif_165","1.000","0.323","385.1266","None","None"
"document_3175","motif_36","0.983","0.116","475.3232","None","None"
"document_3176","motif_10","0.881","0.735","544.4660","None","None"
"document_3176","motif_64","0.118","0.240","544.4660","None","None"
"document_3177","motif_52","0.832","0.201","324.1789","None","None"
"document_3177","motif_253","0.146","0.612","324.1789","None","None"
"document_3178","motif_201","0.917","0.233","304.1525","None","None"
"document_3179","motif_71","0.490","0.778","163.0958","None","None"
"document_3179","motif_142","0.485","0.033","163.0958","None","None"
"document_318","motif_144","0.972","0.581","196.1535","None","None"
"document_3180","motif_72","0.716","0.158","590.3299","None","None"
"document_3180","motif_305","0.171","0.788","590.3299","None","None"
"document_3181","motif_382","0.531","0.456","356.2238","None","None"
"document_3181","motif_201","0.385","0.010","356.2238","None","None"
"document_3181","motif_276","0.074","0.038","356.2238","None","None"
"document_3182","motif_47","1.000","0.948","232.0662","None","None"
"document_3183","motif_356","0.944","0.013","219.1120","None","None"
"document_3184","motif_248","0.980","0.182","377.1694","None","None"
"document_3185","motif_37","0.797","0.049","550.3066","None","None"
"document_3185","motif_248","0.198","0.146","550.3066","None","None"
"document_3186","motif_195","1.000","0.107","606.3973","None","None"
"document_3187","motif_399","0.985","0.108","685.3527","None","None"
"document_3188","motif_52","0.906","0.169","306.1681","None","None"
"document_3189","motif_326","0.490","0.093","471.3776","None","None"
"document_3189","motif_160","0.140","0.277","471.3776","None","None"
"document_3189","motif_232","0.077","0.289","471.3776","None","None"
