Document	Motif	Probability	Overlap Score	Precursor Mass	Retention Time	Document Annotation	Motif_consensus	Motif_2	Proba_2	Overl_2	Motif_3	Proba_3	Overl_3	Motif_4	Proba_4	Overl_4	Motif_5	Proba_5	Overl_5	Motif_6	Proba_6	Overl_6	Motif_7	Proba_7	Overl_7	Motif_8	Proba_8	Overl_8	Motif_9	Proba_9	Overl_9
1897	M109	0.7340000000000001	0.272	258.2414	None	None	M109,M371,M110	M371	0.059000000000000004	0.8759999999999999	M110	0.053	0.363																		
1898	M218	0.8059999999999999	0.044000000000000004	305.2071	None	None	M218,M77,M92	M77	0.08199999999999999	0.322	M92	0.055999999999999994	0.253																		
1899	M365	0.494	0.026000000000000002	380.2931	None	None	M365,M322	M322	0.485	0.857																					
19	M39	0.539	0.026000000000000002	348.274	None	None	M39,M48,M163	M48	0.20600000000000002	0.069	M163	0.17600000000000002	0.184																		
190	M390	0.526	0.166	283.1736	None	None	M390,M202,M177	M202	0.318	0.948	M177	0.07200000000000001	0.10400000000000001																		
1900	M165	0.995	0.214	312.3242	None	None	M165																								
1901	M337	0.64	0.7709999999999999	377.2205	None	None	M337,M322,M113	M322	0.174	0.7909999999999999	M113	0.10400000000000001	0.21																		
1902	M209	0.611	0.377	521.3208	None	None	M209,M220,M371,M84	M220	0.121	0.7140000000000001	M371	0.10800000000000001	0.912	M84	0.073	0.5820000000000001															
1903	M378	0.513	0.7959999999999999	577.5277	None	None	M378,M29,M267,M137	M29	0.198	0.5720000000000001	M267	0.086	0.33399999999999996	M137	0.06	0.526															
1904	M47	0.9990000000000001	0.006	495.1239	None	None	M47																								
1905	M388	0.809	0.18899999999999997	498.2745	None	None	M388,M284,M117	M284	0.10099999999999999	0.38	M117	0.09	0.649																		
1906	M259	0.754	0.45299999999999996	391.1995	None	None	M259,M127	M127	0.1	0.171																					
1907	M211	1.0	0.6759999999999999	1370.9513	None	None	M211																								
1908	M275	0.439	0.111	297.1467	None	None	M275,M157,M320,M96	M157	0.34299999999999997	0.5760000000000001	M320	0.092	0.166	M96	0.063	0.642															
1909	M254	0.996	0.201	383.2676	None	None	M254																								
191	M162	0.9740000000000001	0.016	296.2179	None	None	M162																								
1910	M217	0.484	0.275	161.0954	None	None	M217,M301,M226,M283	M301	0.129	0.61	M226	0.113	0.221	M283	0.10099999999999999	0.153															
1911	M313	0.9229999999999999	0.075	173.1723	None	None	M313																								
1912	M115	0.9940000000000001	0.43700000000000006	262.1424	None	None	M115																								
1913	M281	0.505	0.414	253.1422	None	None	M281,M157,M96,M54	M157	0.239	0.674	M96	0.174	0.7859999999999999	M54	0.061	0.48700000000000004															
1914	M169	0.9	0.08900000000000001	270.2777	None	None	M169,M184	M184	0.054000000000000006	0.4																					
1915	M254	0.72	0.122	164.1063	None	None	M254,M117	M117	0.24	0.649																					
1916	M30	0.871	0.094	268.2621	None	None	M30,M353	M353	0.126	0.374																					
1917	M173	0.423	0.042	175.1109	None	None	M173,M396,M241	M396	0.188	0.14300000000000002	M241	0.174	0.221																		
1918	M281	0.5479999999999999	0.397	295.1886	None	None	M281,M107,M330,M147	M107	0.134	0.24	M330	0.11900000000000001	0.27699999999999997	M147	0.073	0.139															
1919	M71	0.626	0.867	424.3249	None	None	M71,M230,M202,M170	M230	0.155	0.8009999999999999	M202	0.073	0.893	M170	0.07	0.457															
192	M200	0.787	0.024	218.2106	None	None	M200,M184	M184	0.08800000000000001	0.619																					
1920	M254	0.647	0.027999999999999997	300.3243	None	None	M254,M268,M152	M268	0.14400000000000002	0.054000000000000006	M152	0.134	0.552																		
1921	M140	0.9990000000000001	0.026000000000000002	417.3432	None	None	M140																								
1922	M333	0.8490000000000001	0.065	298.1996	None	None	M333,M392	M392	0.083	0.07400000000000001																					
